,input,output
Iterations,(((r∧s)∨t)((q∧q)→s))⊢(((r∧s)∨t)∨r),((s∧p)∨q)((p∨t)∨t)((((∧r)∨))∨))(((∧)∨)∨)
1,((¬s)((t→p)→q))⊢(((t→p)→q)→(r∨((t→p)→q))),(¬p)((s∧s)→p)((∨((((()∨∨))(())((rp))→((∨((→()))))))
2,(p(q∧p))⊢(s∨q),q(s∧p)((∨∨))
3,((q∧t)((p→q)→q))⊢(((p→q)→q)∧((q∧t)∧((p→q)→q))),(q→p)((p→t)→p)((∨→p)∧())∨()∨())(()→q)∧((r→t)∧()→(()→))))
4,(r((t∧r)→s))⊢(r∧(r∨t)),q((s∧p)→p)(s∨p)(q∧(q∨p))
5,((p∨(¬p))t)⊢((t∨t)∨s),(q∨(¬q))s(s∨s)((p∨t)∨s)
6,((s→q)(q∧q))⊢((q∧q)∨s),(s→s)(s∧s)((∨∧s)∨))((∧)∨)
7,(r(p∧(q∨q)))⊢(s∨(r∨q)),p(r∧(p∨s))(s∨p)(s∨(s∨s))
8,((r∨t)((¬r)→q))⊢((r∨t)→(p∨(r∨t))),(s∨q)((¬()∨))(t∨(p∨r))((p∨p)∧(p∨(p∨p)))
9,((s→p)(¬p))⊢((s→p)→(¬p)),(s→q)(¬t)((s→r)→(¬p))
10,(t(t∨s))⊢(s∨(q∨t)),t(s∨r)(t∨()(t∨((∨∨))
11,(t(t∧(r∨t)))⊢(t∨t),r(r∧(p∨s))((∨∨))
12,(s((t→p)∧r))⊢(s∧r),q((s→p)∧p)t(q∧p)
13,(r(r∧t))⊢((r∧t)∧r),p(s∧t)t((t∧q)∧p)
14,(p(r∨r))⊢(p∨r),q(s∨r)(r∧()∨))(∨)
15,(t(t→(t→s)))⊢(t→(t∨t)),r(r→(p→p))(q∨r)(r→(t∨p))
16,((t→t)s)⊢((t→t)∨t),(s→s)s((t→))∨t)((→)∨)
17,(r(s∧t))⊢((s∧t)→((s∧t)∨p)),p(t∧p)((p∧p)∨r)((s∧p)∧((s∧q)∨t))
18,((r→s)(p∧s))⊢((r→s)→(p∧s)),(s→s)(p∧q)((s→p)→(r∧p))
19,(r(s∨t))⊢(r∨t),q(s∨r)(r∧()∨))(∨)
20,((t∨(s∧s))s)⊢(s∨t),(s∨(r∧p))s((∨∨)∧)
21,((p∧t)t)⊢(p∨r),(s∧s)q((∨∨))
22,((¬s)(p→p))⊢((p→p)∨t),(¬p)(p→s)((∨())∨))((→→))∨)
23,((s∧p)(s→p))⊢((s∧p)∧(t∨(s∧p))),(q∧p)(p→p)(t∨(p∧p))((p∧p)∧(p∨(t∧q)))
24,((p∨s)(¬q))⊢((p∨s)→(¬q)),(s∨q)(¬p)((t∨p)→(¬t))
