Iterations,input,output
1,(p(r∧s))⊢(r∨s),((∧∧))((∨)(()
2,(q(s∧(p→s)))⊢(q∧(q→(s∧(p→s)))),((→∧)(s∧))((ss((s∧(s∧s))
3,(((q∨q)∨t)t)⊢(r∨t),((∨∨))(t∨)((∨∨)(∨∨))
4,(p(r→s))⊢((r→s)∧((r→s)∨p)),((→s)(s→))((∨))(s→))∨s))
5,((q∧s)t)⊢(r∨t),((∧∧))((∨)(()
6,(s((¬r)∨r))⊢(s→((¬r)∨r)),((rr((r))((∨)((r)(())))
7,(s(r∧t))⊢(s→(s∨s)),((∧∧))(())((∨s)()
8,((p∧s)(s∨p))⊢((s∨p)∨r),((pp)((p))((∨))(∨∨)))
9,(((p→t)→t)r)⊢(s∨r),((→→))((∨)((∨→)(∨∨))
10,((p∧s)(¬q))⊢((p∧s)∧s),((∧∧)(∧∧)∧(s∧∧))
11,(r((s→p)∨p))⊢(q∨(r∨q)),((∨∨))(∨))((∨))(∨∨))∨)
12,(r(q∧p))⊢((q∧p)∨p),((∧∧))(())((∨))(
13,((q∧(r→s))s)⊢(s→(s∨s)),((→∧))(∧))((∨s)(s→)))
14,(q(q∧(r∨r)))⊢((q∨q)∨r),((qq)qqq)q((∨q)(q∨)))
15,((p∧(p∨q))q)⊢q,((∧∧))((∨)((
16,(s(q→(p∨q)))⊢(s∨r),((→→))(r))((∨∨)(∨))
17,((r→r)(t∧s))⊢(t∨(t∧s)),((∧∧))(∧))((∨))()∨))
18,(p(t∧(s∧p)))⊢(q∨p),((∧∧))(())((∨p)(
19,((r→(q∧s))q)⊢((r→(q∧s))→q),((→q))q∧))((∨q)(q→))∨q))
20,(((p→q)∧p)t)⊢(s∨t),((∧∧))(())((∨))()
21,((q∧r)(q∨t))⊢((q∨t)∨p),((∨∨))(q))((∨))(∨∨)))
22,((q∨r)(q∧q))⊢((q∧q)→((q∧q)∨p)),(qqqqqqq)qqqqqqqqqqqqq)qq
23,(q((¬t)→t))⊢(q∧((¬t)→t)),((∧t)(∧))((t)((())())))
24,((¬t)(r∨s))⊢((¬t)→(t∨(¬t))),(¬∨)((¬))((∨)((∨)((∨)((∨))
25,((r∨(¬q))s)⊢(s∨q),((∧q))()))((∨))(
26,(((s∧p)∧p)q)⊢(((s∧p)∧p)∨r),((∧∧)(∧∧))((s))()∧()))
27,((¬t)(¬r))⊢(s∨(¬t)),(¬¬)(¬¬))((∨)(¬))()
28,((r→r)p)⊢((r→r)∧((r→r)∨s)),(r→rrrrr))((rr)(rrrr∨r))
29,((s∧t)p)⊢((s∧t)∧(q∨(s∧t))),((∧∧)(∧∧))((∧))()∧()))
30,((s∧p)(q∧r))⊢((s∧p)∨s),((∧∧))∧∧))((ss)()
31,((t∨p)(t→t))⊢(t∨(t∨p)),(t∨t)t(t)t(ttt)(t∨t)∨t)
32,((r∧(r→t))((p∧p)∧q))⊢(q∨(r∧(r→t))),((→()(s))(((()((()(()))(()))
33,((q∨(¬q))p)⊢(r∨p),((∨∨))())(((∨∨)(∨
34,((q∧s)(r→q))⊢((r→q)∧q),((∧q))qq))((qq)(qq)))
35,(((¬r)→t)p)⊢(t∨((¬r)→t)),((∨()(∨))((∨)((()(())))
36,(s(p→s))⊢((t∨s)∨r),((→→))(p))((∨))(∨))
37,((r→(s→r))t)⊢(t∧(p∨t)),((→→))()))((∨))(∨∨)))
38,((p→q)(s∨p))⊢(p∨(s∨p)),((∨p))(p))((∨))(∨∨)))
39,((t→(s∧q))((p∧t)∧r))⊢((t→(s∧q))→((p∧t)∧r)),(s∧()(∧))((∧()((()((∧∧)(∧∧∧∧∧)))(∧))))))
40,((q∨r)(q→s))⊢((q∨r)∧((q∨r)∨q)),(q∨qq(q)))(qq)((qq(q∨q)(qq)
41,(r(s∧(p∧r)))⊢(s∨r),((∧∧))(())((∨r)(
42,(t(p∧(t∨t)))⊢(t∨p),((tt)t(ttt((∨t)(∨)
43,(q((q→t)∧r))⊢(q∧(t∨q)),((qq))qq)q((qq)(qq))
44,(q(r∨(q∧q)))⊢(q∨(r∨(q∧q))),(qqqqqqq)qqqqqqqqqqqqq)
45,(p(t→(t∨t)))⊢(p∧(p∨r)),((∨p))(p))((∨))(∨∨)))
46,((q∨t)t)⊢(t∨p),((tt))(t∨t)(∨∨)
47,(p(r∧p))⊢((r∧p)∨t),((∧p))(p))((∨p)(
48,((p∧r)r)⊢(s∨p),((∧∧))((∨)(()
49,((t→s)t)⊢t,t(∧∧))((∨)
50,(t((r→r)→q))⊢(t∨p),((→→))((∨)((∨∨)(∨∨))
