Iterations,input,output
1,((q∨r)((q→p)∨t))⊢((q∨r)∧((q∨r)∨t)),(q∨r)((q→p)∨t)((q∨r)∨t)((q∨rt∧((q∨r)∨t))
2,(((p∧t)∧s)p)⊢(((p∧t)∧s)∨p),((p∧t)∧s)p(((p∧t)∧s)∨p)(((p∧t)∧s)∨p)
3,(r((q→r)∧t))⊢((q→r)∨t),r((q→r)∧t)(q→r)((q→r)∨t)
4,((p→(r∧s))(p∧s))⊢(q∨s),(p→(r∧s))(p∧s)p(q∨s)
5,(t(s∨s))⊢(t∧(p∨t)),t(s∨s)(t∨t)(t∧(p∨t))
6,(q(q→r))⊢(q∨(q→r)),q(q→r)(q∨(q→r))(q∨(q→r))
7,(((q→t)∧t)q)⊢(q∨r),((q→t)∧t)q(q∨q)()
8,((s∨p)p)⊢((s∨p)→p),(s∨p)p((s∨p)→p)
9,(s((¬t)∧t))⊢(r∨(s∨s)),s((¬t)∧t)(s∨s)(r∨(s∨s))
10,((s∧q)p)⊢(p∧q),(s∧q)pq(p∧q)
11,((q→p)p)⊢(p→(r∨p)),(q→p)p(r∨p)(p→(r∨p))
12,((q∨p)r)⊢((q∨p)→r),(q∨p)r((q∨p)→r)
13,((t∧(r→q))p)⊢((p∨p)∨q),(t∧(r→q))p(p∨p)((p∨p)∨q)
14,(r(t∧t))⊢((t∧t)∨q),r(t∧t)(r∨(t∧t))((t∧t)∨q)
15,(s(q→r))⊢(t∨(q→r)),s(q→r)(s∨(q→r))(t∨(q→r))
16,(p(t→(t∨t)))⊢((t→(t∨t))∨q),p(t→(t∨t))(p∨(t→(t∨t)))((t→(t∨t))∨q)
17,(s(r∧(p∨p)))⊢(r∨(p∨s)),s(r∧(p∨p))(p∨s)(r∨(p∨s))
18,(q(r∧r))⊢q,q(r∧r)(q∧(r∧r))q
19,(q((p∧t)∧r))⊢(t∨q),q((p∧t)∧r)((∨∨)(
20,(((t→t)∧q)(t→t))⊢((t→t)→(p∨(t→t))),((t→t)∧q)(t→t)(p∨(t→t))((t→t)→(p∨(t→t)))
21,((p∨q)(p∧t))⊢(r∨(p∧t)),(p∨q)(p∧t)((p(p)∨))(r∨(p∧t))
